length,prefix,algorithm
8,,R' F2 R U2 R U' R' F
9,y,F' R2 F R2 F R' U' R U'
9,y,R U' F' R2 F R2 F U' R'
9,y,R2 U' R2 F R' F' R2 U R2
9,y',F' U2 F U2 F R' F' R U
9,y2,R' U2 R U2 R F' U' F U2
10,,F R' U' R2 U R2 U R' F' U
10,,F2 U' R2 F U' F' R2 U F2 U
10,,R F R2 F2 U' R' U' R U' F
10,,R F' U R2 F2 R U' R U' F
10,,R F2 R2 F2 R' U2 R U' R' F
10,,R' F2 R U F2 R' F' R U F'
10,,R' F2 R' U2 R2 U2 R' U' R' F
10,,R' F2 U' R' U' R U2 R U F
10,,R' U R2 F R F2 U' F U' R'
10,,R' U' R2 F U' R2 F2 R' U F2
10,,R' U' R2 F' R2 F2 U R U F2
10,,R' U2 F2 R' U2 F2 R U' R' F
10,,R2 F2 R' U2 R' F2 R' U R' F
10,y,F R' F U F R' F R' U R2
10,y,F R2 U' R F U F2 R' U R2
10,y,F U2 F U F' R2 F U F' R2
10,y,F U2 R2 U' F R U R' U R2
10,y,F' R U' F2 R' F' R2 F' U2 R'
10,y,F' R2 F R F U' R F U' R'
10,y,F' R2 U' R' F2 U' R F' U2 R'
10,y,F' U' F2 R' U2 R U2 R U F
10,y,F2 R2 U R2 F' R' F' R2 U R2
10,y,R F R F' U F R' F' U2 R'
10,y,R F R F' U R' U2 F' U' F
10,y,R F R F2 R' U' R F U' R'
10,y,R F U' F' U' R2 F' R U F
10,y,R F U2 F' R' U R U' R' F
10,y,R' F2 R F' U2 R2 U' R' F R'
10,y,R' F2 R' U R' F U R2 F2 R'
10,y,R' F2 R' U R' F' R2 F2 U' R
10,y,R' F2 R' U2 R2 F U R' F R'
10,y,R2 U F2 U' R' U' R2 F U' R'
10,y,R2 U' R2 F R' F R2 U' R2 F2
10,y,R2 U' R2 U' R2 F' U' F U2 R2
10,y',F R' U2 F2 U' F R2 U' F' R'
10,y',F' U2 F U R U R' F' U F
10,y',F' U2 F U' F' R' F R U' F
10,y',F' U2 F U2 F' U R U' R' F2
10,y',F' U2 F2 R U F R2 U' F' R'
10,y',F' U2 R' U' R' F2 U R U F2
10,y',R F' R' U2 R F2 R F' R' U2
10,y',R U F R2 F' U R' F' U F
10,y',R U R' U R F R F' U2 R'
10,y',R2 U' F2 R F' R' F2 U R2 U2
10,y',R2 U' F2 U' R2 F' R U2 R2 F'
10,y',R2 U2 F' U F R U R' U R2
10,y2,F U' R' U2 R U2 R U' F' U'
10,y2,F2 R2 F' R' F R' F2 R' U2 R
10,y2,F2 U' F2 R U' R' F2 U F2 U'
